qid;query;automatically_detected_nuggets
2024-145979;what is vicarious trauma and how can it be coped with?;"['Vicarious trauma: indirect exposure to others’ trauma.', 'Symptoms: intrusive thoughts, anxiety, sleep issues, isolation.', 'Affects helpers: social workers, nurses, first responders.', 'Coping: self-care, therapy, mindfulness, peer support.', 'Prevention: boundaries, self-awareness, work-life balance.', 'Treatment: CBT, EMDR, professional help.', 'Risk factors: high empathy, prolonged exposure, prior trauma.', 'Impact: worldview shift, safety concerns, relationship issues.', 'Self-compassion: crucial for resilience; limit exposure.', 'Healthy coping: sleep, nutrition, exercise, fun activities.', 'Compassion fatigue, burnout: related but distinct.', 'Strong social support: crucial for coping and prevention.', 'Work-life balance: essential for preventing vicarious trauma.', 'Address mental health promptly; regular self-check-ins.', 'Manage caseload, team support, breaks: prevention.', 'Trauma history: unresolved trauma increases risk.', 'Emotional regulation: key skill for managing vicarious trauma.', 'Debriefing, supervision, EAP access: vital resources.', 'Reflective practice: journaling, supervision, peer support.', 'Rest, play, walks, friends: self-care strategies.', 'Vicarious trauma stressors: systemic racism, violence exposure.', 'Secondary trauma: hearing about others’ trauma.', 'Emotional symptoms: grief, anxiety, irritability, anger.', 'Behavioral symptoms: isolation, substance use, sleep issues.']"
2024-36935;how did the northwest coast people develop and use animal imagery in their homes?;"['Animal imagery conveyed family history, clan identity.', 'House posts carved with animals, ancestors, spirits.', 'Totem poles depicted animals, told family stories.', 'Plank houses incorporated animal designs, crests.', 'Animals included bears, ravens, whales, wolves, salmon.', 'Carvings varied by tribe (Haida, Kwakwaka’wakw, Tlingit).', 'Totem poles featured prominently in homes, sometimes supporting roofs.', 'Animal imagery linked clan ancestry, guardian spirits.', 'Cedar wood used for homes, totem poles, masks.', 'Masks represented animals, spiritual beings in ceremonies.', 'Animal imagery connected people to land, resources.']"
2024-216592;why disability insurance is a smart investment;"['Protects income during disability, prevents financial ruin', 'One in four workers face disability; average claim lasts years', 'Replaces lost wages; avoids debt, mortgage foreclosure', 'Many lack adequate coverage; employer plans often insufficient', 'Financial security for long-term illness/injury; peace of mind', 'Secures financial future; protects assets, family’s well-being', 'Provides income replacement (up to 60%) during recovery', 'Covers living expenses; not just medical bills', 'Essential for primary earners, self-employed individuals', 'Mitigates financial hardship from unexpected events', 'Affordable monthly protection; smart investment for all workers', 'Self-employed workers especially need it; protects business', 'Disability is a common cause of bankruptcy', 'Many disabilities stem from illness, not accidents', 'Short-term disability offers immediate financial relief', 'Long-term disability provides income for 2+ years', 'High-income earners benefit most; protects high earning potential', 'Employer-sponsored plans offer discounted rates, but limited coverage', 'Tax-free benefits if premiums are not deducted', 'Short-term disability bridges gap until long-term kicks in', 'Individual policies portable across jobs', 'Own-occupation policies protect specialized skills', 'Cost-of-living adjustments protect against inflation', 'Policies cover non-work-related disabilities', 'SSDI often insufficient; disability insurance supplements income']"
2024-32912;how bad did the vietnam war devastate the economy in 1968;"['War spending strained US economy', 'Fueled inflation (4.25% annually 1965-70)', 'Huge balance of payments deficit', 'Budget deficits increased', 'Diverted funds from Great Society', 'Negative impact on economic growth', 'Increased interest rates', 'Stock market downturn (1968-1970)', 'Economic turmoil worsened in 1968', '$167 billion war cost (Johnson admin)', 'Tet Offensive devastated public support', 'Public opposition to war intensified', 'Reduced consumer confidence', 'Contributed to 1970s stagflation', 'Insufficient tax increases initially', 'High casualty rates (US & Vietnam)', '500,000+ US troops in Vietnam (1968)']"
2024-153051;what target stors’s policies for shoplifting;"['Target prosecutes shoplifters; collaborates with law enforcement.', 'Shoplifters face arrest, fines, or jail time; penalties vary.', 'Target’s shoplifting policy guides response; a deterrent and legal foundation.', 'Charges depend on stolen goods value (misdemeanor vs. felony).', 'Target’s store design, employee training, and technology deter theft.', 'Conspicuous surveillance deters shoplifting, especially at self-checkout.', 'Security measures include bag checks, alarms, and other deterrents.', 'Target emphasizes clear incident documentation; respects suspects’ rights.', 'Target uses video analytics and forensics to investigate shoplifting.', 'Asset protection teams apprehend suspects; ideally in pairs.', 'Target security may detain suspects; awaits police arrival.', 'Possession of shoplifting tools may increase penalties.', 'Retail value of stolen goods, losses, and legal fees may be repaid.']"
2024-128784;what can a career in civil engineering be like?;"['Shape the world', 'High demand, job growth', 'High earning potential', 'Diverse specializations', 'Problem-solving and innovation', 'Challenging and rewarding', 'Public safety responsibility', 'Collaboration with diverse teams', 'Manage large projects', 'Office and on-site work', 'Excellent communication skills', 'Strong analytical skills', 'Varied job roles', 'Tangible impact on lives', 'High responsibility', 'Continuous learning', 'Design or construction focus', 'Work with architects and contractors', 'Meet tight deadlines', 'Adapt infrastructure to climate change', 'Maintain aging infrastructure', 'Geotechnical, structural, environmental focus', 'Transportation, hydraulics, sustainability options', 'Consulting and contracting', 'Potential for travel', 'Teamwork, leadership, management roles', 'High-stakes decision-making', 'Strong math and science background', 'Licensed professionals', 'Advanced education beneficial']"
2024-134815;what do centrists believe about the powers of the president;"['Checks and balances on presidential power', 'Constitutional limits on presidential power', 'Oppose exceeding constitutional limits', 'Oppose abuse of presidential power', 'Presidential power subject to Congressional oversight', 'Executive power shared, not separated', 'President’s power: persuasion, reputation, prestige', 'Constitutional powers: limited but significant', 'Framers intended Congress to lead, President to execute', 'Growth of executive power over time', 'Presidential power depends on leadership, events, public opinion', 'Limited government, careful about exceeding authority', 'Congress declares war; President commands', 'President accountable to all citizens', 'Respect for checks and balances', 'No absolute authority over domestic policy', 'Powers articulated in Article II of the Constitution', 'Congress, judiciary, states also have powers', 'President is not a king', 'Impeachment for abuse of power', 'Treaty-making requires Senate approval', 'Veto power subject to Congressional override', 'Commander-in-chief, but Congress declares war', 'Believe in rule of law, accountability', 'Reject using military as political props', 'Free press essential for accountability', 'Facts and science guide policy', 'No one above the law']"
2024-79081;how taylor swift’s age affects her relationships;"['Swift’s songwriting reflects relationship experiences across ages.', 'Age gaps in past relationships created power imbalances.', 'Younger Swift experienced manipulation in some relationships.', 'Early relationships were short-lived and highly publicized.', 'Public scrutiny heavily impacted early relationships.', 'Maturity led to more stable, private relationships.', 'Past relationship experiences shaped future choices.', 'Many relationships inspired her song lyrics.', 'Teenage years involved intense, brief romances.', 'Early twenties brought navigating fame and relationships.', 'She prioritized privacy as she matured.', 'Past relationships include high-profile figures.', 'Age differences impacted some relationships negatively.', 'Public attention influenced relationship choices.', 'Early relationships often ended quickly.', 'Her songwriting reflects her evolving perspectives on relationships.', 'Swift’s age didn’t solely determine relationship success.']"
2024-42497;how does the informal recycling sector add to air pollution through burning of e-waste?;"['Informal recycling often involves open burning.', 'Burning e-waste releases toxic air pollutants.', 'E-waste burning releases heavy metals (lead, cadmium).', 'Dioxins and furans are released by burning e-waste.', 'Burning releases particulate matter and soot.', 'Plastic in e-waste produces harmful hydrocarbons.', 'Toxic fumes from burning cause respiratory problems.', 'Informal sectors lack pollution control technology.']"
2024-158743;what was happening in germany and netherlands in the 1840s;"['Railway mania in German states', 'German Zollverein expanded trade', 'Early industrialization in Germany', 'Political unrest and calls for reform', 'Revolutions of 1848 in German states', 'Failed attempts at German unification', 'Increased emigration from Germany', 'Rise of liberalism and nationalism', 'King William II ruled Netherlands (1840-1849)', 'Netherlands became parliamentary democracy (1848)', 'Government reforms in Netherlands']"
